TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.jfree.data.KeyedObjectComparatorType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8490384615384616,52,41
org.jfree.data.category.SlidingCategoryDataset,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8372476829033391,502,434
org.jfree.data.category.AbstractCategoryDataset,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,20,20
org.jfree.data.category.DefaultCategoryDataset,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6980000521679676,584,361
org.jfree.data.category.CategoryToPieDataset,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8063806352459016,457,354
org.jfree.data.category.DefaultIntervalCategoryDataset,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7621752220634445,1204,849
org.jfree.data.KeyedObjects2D,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8548117635361777,781,692
org.jfree.data.jdbc.JDBCPieDataset,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7902446668366481,195,137
org.jfree.data.jdbc.JDBCXYDataset,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7128467567014044,620,404
org.jfree.data.jdbc.JDBCCategoryDataset,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8381064253509796,290,215
org.jfree.data.KeyToGroupMap,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9019675847977219,378,344
org.jfree.data.KeyedValueComparatorType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8490384615384616,52,41
