TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.google.javascript.rhino.SourcePosition,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.125,186,0
com.google.javascript.rhino.jstype.BooleanLiteralSet,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8868843210361068,140,122
com.google.javascript.rhino.jstype.JSTypeNative,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,0,0
com.google.javascript.rhino.jstype.SimpleSourceFile,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9558823529411765,77,71
com.google.javascript.rhino.jstype.EquivalenceMethod,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,0,0
com.google.javascript.rhino.jstype.TernaryValue,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8694490822644847,155,131
com.google.javascript.rhino.SimpleErrorReporter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8963541666666668,143,131
com.google.javascript.rhino.Token,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.849675269905533,1498,1165
com.google.javascript.rhino.InputId,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.96875,57,55
com.google.javascript.rhino.ScriptRuntime,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7364178590880612,1268,993
com.google.javascript.rhino.TokenStream,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8537804674307118,913,649
com.google.javascript.jscomp.ComposeWarningsGuard,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.16420454545454544,244,9
com.google.javascript.jscomp.VarCheck,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.3389930305215093,333,9
com.google.javascript.jscomp.ConvertToDottedProperties,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.703804347826087,109,48
com.google.javascript.jscomp.PrepareAst,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6307153131484625,323,93
com.google.javascript.jscomp.MinimizeExitPoints,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.593547656047656,563,124
com.google.javascript.jscomp.GroupVariableDeclarations,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4578015375429168,286,34
com.google.javascript.jscomp.ObjectPropertyStringPreprocess,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4202898550724638,166,16
com.google.javascript.jscomp.SuppressDocWarningsGuard,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.17769607843137253,144,6
com.google.javascript.jscomp.ExtractPrototypeMemberDeclarations,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.35847431077694236,339,16
com.google.javascript.jscomp.NameAnonymousFunctions,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5081918081918082,86,26
com.google.javascript.jscomp.CheckSideEffects,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.41478874633721385,296,27
