TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.apache.commons.compress.compressors.CompressorException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,24,24
org.apache.commons.compress.compressors.CompressorInputStream,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.875,3,2
org.apache.commons.compress.compressors.gzip.GzipCompressorInputStream,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5,20,10
org.apache.commons.compress.compressors.gzip.GzipCompressorOutputStream,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,27,27
org.apache.commons.compress.compressors.CompressorOutputStream,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.875,3,2
org.apache.commons.compress.compressors.CompressorStreamFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8291040100250627,95,84
org.apache.commons.compress.compressors.bzip2.BZip2CompressorOutputStream,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7856833039868754,2365,1510
org.apache.commons.compress.compressors.bzip2.BZip2CompressorInputStream,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.1619761496680799,1934,49
org.apache.commons.compress.changes.ChangeSet,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5606160684612829,264,107
org.apache.commons.compress.changes.Change,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9821428571428571,74,72
org.apache.commons.compress.archivers.ArchiveOutputStream,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.875,9,8
org.apache.commons.compress.archivers.ArchiveInputStream,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.625,14,6
org.apache.commons.compress.archivers.ar.ArArchiveEntry,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9945652173913043,93,92
org.apache.commons.compress.archivers.ar.ArArchiveOutputStream,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9819326085634043,340,332
org.apache.commons.compress.archivers.ar.ArArchiveInputStream,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6722952391076685,431,235
org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9005231204425447,1018,806
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5657303953461433,1202,420
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9879969086605805,787,778
org.apache.commons.compress.archivers.cpio.CpioUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9552083333333333,291,286
org.apache.commons.compress.archivers.ArchiveException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,19,19
