TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.apache.commons.lang3.ArrayUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7980768932266128,5605,4160
org.apache.commons.lang3.StringEscapeUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9750491103318397,412,398
org.apache.commons.lang3.ArrayUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7951439880973152,5603,4156
org.apache.commons.lang3.StringEscapeUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9847291220209106,417,403
org.apache.commons.lang3.JavaVersion,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9271263736263736,218,200
org.apache.commons.lang3.CharSet,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9681944444444445,374,371
org.apache.commons.lang3.SystemUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7991450783472601,1207,703
org.apache.commons.lang3.event.EventListenerSupport,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.320785251899803,144,30
org.apache.commons.lang3.event.EventUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5348214285714286,112,42
org.apache.commons.lang3.LocaleUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7651402308105206,435,227
org.apache.commons.lang3.BitField,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9991438356164384,310,309
org.apache.commons.lang3.ObjectUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9051328650444006,816,704
org.apache.commons.lang3.reflect.ConstructorUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9022004585326954,215,190
org.apache.commons.lang3.reflect.MemberUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7781447285353535,344,200
org.apache.commons.lang3.reflect.FieldUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6187554847067842,640,391
org.apache.commons.lang3.reflect.MethodUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5842815624105314,426,233
org.apache.commons.lang3.reflect.TypeUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5552259000919715,1399,442
org.apache.commons.lang3.CharEncoding,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,33,33
org.apache.commons.lang3.Validate,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.884863834734908,827,752
org.apache.commons.lang3.CharRange,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7933666298153624,539,417
org.apache.commons.lang3.BooleanUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9132227469060067,1585,1420
org.apache.commons.lang3.math.NumberUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8676158996131069,2322,1958
org.apache.commons.lang3.math.IEEE754rUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.92015455304929,381,333
org.apache.commons.lang3.math.Fraction,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9261769763259827,1904,1677
org.apache.commons.lang3.AnnotationUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6065585571052156,545,225
org.apache.commons.lang3.exception.CloneFailedException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,18,18
org.apache.commons.lang3.exception.ContextedRuntimeException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9621212121212122,119,109
org.apache.commons.lang3.exception.ExceptionUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9158130770944144,781,701
org.apache.commons.lang3.exception.ContextedException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9621212121212122,119,109
org.apache.commons.lang3.exception.DefaultExceptionContext,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9472934472934473,190,177
org.apache.commons.lang3.Conversion,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.813175267536574,2980,2150
org.apache.commons.lang3.SerializationException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,24,24
org.apache.commons.lang3.CharSetUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9832589285714286,305,296
org.apache.commons.lang3.StringUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8777180650247809,5902,4829
org.apache.commons.lang3.concurrent.AtomicInitializer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.125,24,0
