TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.apache.commons.math3.optim.nonlinear.vector.MultivariateVectorOptimizer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.125,108,0
org.apache.commons.math3.optim.nonlinear.vector.MultiStartMultivariateVectorOptimizer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7608220211161388,78,55
org.apache.commons.math3.optim.nonlinear.vector.Target,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9583333333333334,16,15
org.apache.commons.math3.optim.nonlinear.vector.ModelFunction,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,14,14
org.apache.commons.math3.optim.nonlinear.vector.JacobianMultivariateVectorOptimizer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.125,40,0
org.apache.commons.math3.optim.nonlinear.vector.Weight,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,31,30
org.apache.commons.math3.optim.nonlinear.vector.jacobian.AbstractLeastSquaresOptimizer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.125,259,0
org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.3711691320218011,1442,54
org.apache.commons.math3.optim.nonlinear.vector.jacobian.GaussNewtonOptimizer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.42217223386334685,184,36
org.apache.commons.math3.optim.nonlinear.vector.ModelFunctionJacobian,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,14,14
org.apache.commons.math3.optim.nonlinear.scalar.ObjectiveFunction,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,14,14
org.apache.commons.math3.optim.nonlinear.scalar.GoalType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,0,0
org.apache.commons.math3.optim.nonlinear.scalar.ObjectiveFunctionGradient,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,14,14
org.apache.commons.math3.optim.nonlinear.scalar.LeastSquaresConverter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7661483253588518,162,84
org.apache.commons.math3.optim.nonlinear.scalar.MultivariateOptimizer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7074404761904762,61,49
org.apache.commons.math3.optim.nonlinear.scalar.MultivariateFunctionPenaltyAdapter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9954545454545455,190,187
org.apache.commons.math3.optim.nonlinear.scalar.MultivariateFunctionMappingAdapter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6170721573437139,229,151
org.apache.commons.math3.optim.nonlinear.scalar.MultiStartMultivariateOptimizer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9121581126729869,83,75
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.PowellOptimizer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.44440707700053494,433,109
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.BOBYQAOptimizer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.35375208727210894,3144,124
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.MultiDirectionalSimplex,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6764520202020201,227,81
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.37542381249901374,1861,163
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.AbstractSimplex,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4993576136485036,450,252
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.NelderMeadSimplex,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7696672608437314,317,222
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5413269020749909,191,83
org.apache.commons.math3.optim.nonlinear.scalar.GradientMultivariateOptimizer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6238095238095237,43,32
org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4432934435135079,476,99
org.apache.commons.math3.optim.PointVectorValuePair,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8416666666666667,83,68
org.apache.commons.math3.optim.PointValuePair,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7880681818181818,55,40
org.apache.commons.math3.optim.AbstractConvergenceChecker,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9583333333333334,30,29
org.apache.commons.math3.optim.BaseMultivariateOptimizer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5545899439787889,201,159
org.apache.commons.math3.optim.AbstractOptimizer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6561225233100234,139,89
org.apache.commons.math3.optim.InitialGuess,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9583333333333334,16,15
org.apache.commons.math3.optim.SimpleValueChecker,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9978813559322034,107,106
org.apache.commons.math3.optim.SimpleVectorValueChecker,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9968354430379747,137,135
