TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.fasterxml.jackson.core.JsonParseException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,12,12
com.fasterxml.jackson.core.JsonToken,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7953679447487497,117,91
com.fasterxml.jackson.core.type.ResolvedType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.25,100,0
com.fasterxml.jackson.core.type.TypeReference,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.125,26,0
com.fasterxml.jackson.core.ObjectCodec,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.25,110,0
com.fasterxml.jackson.core.base.ParserMinimalBase,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.46037462524323014,1249,484
com.fasterxml.jackson.core.base.GeneratorBase,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.637825589322929,670,353
com.fasterxml.jackson.core.base.ParserBase,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.45000359434131176,1709,644
com.fasterxml.jackson.core.JsonGenerator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7014970332665345,646,406
com.fasterxml.jackson.core.JsonParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6120416578029334,974,506
com.fasterxml.jackson.core.JsonStreamContext,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9798387096774194,174,169
com.fasterxml.jackson.core.json.PackageVersion,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9196428571428571,24,15
com.fasterxml.jackson.core.json.UTF8JsonGenerator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.44748582738948,2632,852
com.fasterxml.jackson.core.json.UTF8StreamJsonParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.3921642856301947,5123,936
com.fasterxml.jackson.core.json.WriterBasedJsonGenerator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.48672973658662666,2639,840
com.fasterxml.jackson.core.json.JsonWriteContext,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.938247405234657,484,448
com.fasterxml.jackson.core.json.ReaderBasedJsonParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.553190028233972,3415,1254
com.fasterxml.jackson.core.json.ByteSourceJsonBootstrapper,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7247897957337328,1321,888
